town,community_type,governing_body,legislative_form,planning_board_recommendation,planning_board_date,planning_board_vote,legislative_outcome,legislative_date,legislative_tally,legislative_article,threshold,eohlc_status,adoption_date,confidence,doc_source_url,sources,notes
Salisbury,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-10-09,,,,
Saugus,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-06-17,,,,
Scituate,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Seekonk,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-01-22,,https://www.seekonk-ma.gov/DocumentCenter/View/3102,,
Sharon,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-31,,,,
Sherborn,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-29,,,,
Shirley,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-28,,,,
Shrewsbury,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-03-25,,https://shrewsburyma.gov/DocumentCenter/View/17856/Press-Release-EOHLC-Issues-Determination-on--Shrewsburys-Compliance-with-MBTA-Communities-Zoning,,
Somerville,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-12,,,,
Southborough,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-16,,,,
Sterling,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-10-22,,https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,,
Stoneham,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-15,,,,
Stoughton,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-10-24,,,,
Stow,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-07-31,,https://www.stow-ma.gov/398/MBTA-Communities,,
Sudbury,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-07-02,,,,
Sutton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-23,,,,
Swampscott,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-06-03,,,,
Taunton,MBTA adjacent,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-04-26,,,,
Tewksbury,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Topsfield,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Townsend,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-04-08,,,,
Tyngsborough,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-06-26,,,,
Upton,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-05-01,,,,
Wakefield,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-01-08,,,,
Walpole,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-05,,,,
Waltham,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Wareham,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Watertown,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-06,,,,
Wayland,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-26,,https://www.wayland.ma.us/DocumentCenter/View/6742,,
Wellesley,subway or light rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,,,,,
Wenham,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
West Boylston,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-19,,,,
West Bridgewater,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
West Newbury,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-11-07,,,,
Westborough,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-09-06,,,,
Westford,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-12-28,,https://www.westfordma.gov/DocumentCenter/View/14216/MBTA_Communities_Explainer_2_What_done_so_far,,
Westminster,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-08-25,,,,
Weston,subway or light rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-10-30,,https://www.westonma.gov/1884/3A-MBTA-Multifamily-Zoning,,
Westwood,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-11-14,,,,
Weymouth,bus,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-04-02,,,,
Whitman,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-10-17,,,,
Wilmington,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,,,
Winchester,bus,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-05,,,,
Winthrop,subway or light rail,City Council,,,,,NOT_RESEARCHED,,,,,Non-Compliant,,,https://www.winthropma.gov/DocumentCenter/View/1936/ActionPlanforMBTACommunities2025_Submission_Winthrop-2-12-25,,
Woburn,bus,City Council,,,,,NOT_RESEARCHED,,,,,Interim/Unknown,,,,,
Worcester,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-08-22,,,,
Wrentham,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-10-03,,,,
