stem,source_sha256,field,was,should_be,read,why,status,decided_by,decided_on,applied_on
Norton2021,b4f63b079b34d9c241bfdce57dee3481fa04d369bfc65460c5893d2e1a46b702,elections[2].num_winners  (Planning Board),1,2,"Reopened 2026-09-06: Norton2021_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 (printed '186') main table, verbatim: 'Planning Board / Blanks 1444 1280 1089 1373 859 6045 / Write Ins 134 120 67 93 97 511' over an unlabelled total row '1578 1400 1156 1466 956 6556'. 6045 + 511 = 6556 exactly, with no named candidate in the block. Page 2 (printed '187') carries a separate table headed 'WRITE INS' whose Planning Board section reads 'Wayne Graff 20 23 15 13 23 94 / Allen Bouley 62 48 27 20 24 181 / Michael Conroy 3 9 4 7 18 41' over its own total '85 80 46 40 65 316'. 316 is part of the 511, not additional to it: the main block already closes at 6556, and Board of Assessors closes at 3278 for one seat, so 6556 = 3278 x 2. The record holds all three names ALONGSIDE Others 511 and totals 6872 = 6556 + 316.","Seats up, not people who won. The document prints no 'vote for N' anywhere, but the Planning Board block tallies its blanks and totals exactly 6556 = 3278 x 2, and where blanks are printed the marks equal ballots x seats exactly rather than bounding it. 3278 is the ballot count three single-seat contests agree on (Board of Assessors, Water/Sewer Commissioner, Housing Authority). School Committee, also a two-seat contest, totals the same 6556. || not applied: num_winners is a judgement, not a string test || VERIFIED 2026-09-06 at 250dpi: the main Planning Board block closes at 6556 on Blanks 6045 + Write Ins 511 with no named candidate, so the 316 named on the WRITE INS page is inside the 511. || VERIFIED 2026-09-06 at 250dpi: the printed block is Blanks 6045 + Write Ins 511 over an unlabelled total row 6556, and Board of Assessors closes at 3278 for one seat, so 6556 = 3278 x 2 and two seats is what the arithmetic supports. But the arithmetic is only a lower bound and this sheet prints no 'vote for no more than N' anywhere -- the four blocks each print a bare total row and nothing about seats. num_winners decides who won, so this stays with the owner: the corroboration is arithmetic alone, and Norton's own 2026 sheet shows the town does print seat counts in its headings when it uses that format.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Norton2021,b4f63b079b34d9c241bfdce57dee3481fa04d369bfc65460c5893d2e1a46b702,elections[0].num_winners  (Select Board),3,2,"Reopened 2026-09-06: Norton2021_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 (printed '186') main table, verbatim: 'Planning Board / Blanks 1444 1280 1089 1373 859 6045 / Write Ins 134 120 67 93 97 511' over an unlabelled total row '1578 1400 1156 1466 956 6556'. 6045 + 511 = 6556 exactly, with no named candidate in the block. Page 2 (printed '187') carries a separate table headed 'WRITE INS' whose Planning Board section reads 'Wayne Graff 20 23 15 13 23 94 / Allen Bouley 62 48 27 20 24 181 / Michael Conroy 3 9 4 7 18 41' over its own total '85 80 46 40 65 316'. 316 is part of the 511, not additional to it: the main block already closes at 6556, and Board of Assessors closes at 3278 for one seat, so 6556 = 3278 x 2. The record holds all three names ALONGSIDE Others 511 and totals 6872 = 6556 + 316.","Same reasoning, opposite direction: recorded as three seats, the block reads as 3278 marks short and the corpus files it as an incomplete tally. It is not incomplete. Blanks are printed and the block totals exactly 6556 = 3278 x 2, so two seats were up and three candidates stood for them. num_winners is the field that decides who won and the one no size-based diff can see, which is why this is a row and not a shrug. || not applied: num_winners is a judgement, not a string test || VERIFIED 2026-09-06 at 250dpi: the main Planning Board block closes at 6556 on Blanks 6045 + Write Ins 511 with no named candidate, so the 316 named on the WRITE INS page is inside the 511. || VERIFIED 2026-09-06 at 250dpi: the printed block is Blanks 6045 + Write Ins 511 over an unlabelled total row 6556, and Board of Assessors closes at 3278 for one seat, so 6556 = 3278 x 2 and two seats is what the arithmetic supports. But the arithmetic is only a lower bound and this sheet prints no 'vote for no more than N' anywhere -- the four blocks each print a bare total row and nothing about seats. num_winners decides who won, so this stays with the owner: the corroboration is arithmetic alone, and Norton's own 2026 sheet shows the town does print seat counts in its headings when it uses that format.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Clarksburg2024,2167c2cb8d46f2345db52dd3bc0c4134d7864d6703d85e7acf1ed8e4685aa429,"elections[2] (MODERATOR): the 'Others' tally row, which is the document's printed Write-ins SUBTOTAL",28,0 (the named write-ins below it already carry these votes),"No PDF is held for this town-year in the published set, so the reading read was data/markdown/Clarksburg2024.md (sha256 above is of that file, not of a PDF). It is headed ""# 2024 Town Election Results"" and prints each office as a column pair. MODERATOR: ""Seth Alexander 199 / Blanks 45 / Write-ins 28 / Ronald Boucher 23 / Bryana Malloy 1 / Kathy Denault 1 / Colton Andrews 1 / Mark Denault 1 / John Jacobbe 1"". The named rows sum to 28, which is the Write-ins row printed above them. TREE WARDEN prints ""Write-ins 30"" over named rows summing to 30; WAR MEMORIAL ""Write-ins 24"" over 24; PLANNING BOARD ""Write-ins 13"" over 13. Four contests where the town publishes a write-in subtotal and then itemises it.","The subtotal and its own breakdown are both counted, so each of these four contests totals exactly one write-in subtotal more than the ballots cast, and layer 2 reports four arithmetically impossible contests in a town of 272 ballots. Nothing is wrong with the document or with the figures: 272 is what SELECTBOARD, SCHOOL COMMITTEE, BOARD OF HEALTH and LIBRARY TRUSTEE each total, and dropping the subtotal closes all four exactly. Setting the aggregate to 0 keeps every named write-in, which is the half that carries information. This is a parse shape, not a Clarksburg fact -- see the run note; 23 contests across 19 town-years have an excess exactly equal to their write-in row. || not applied: unrecognised field; enumerate what it IS before applying",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Clarksburg2024,2167c2cb8d46f2345db52dd3bc0c4134d7864d6703d85e7acf1ed8e4685aa429,"elections[3] (TREE WARDEN): the 'Others' tally row, which is the document's printed Write-ins SUBTOTAL",30,0 (the named write-ins below it already carry these votes),"No PDF is held for this town-year in the published set, so the reading read was data/markdown/Clarksburg2024.md (sha256 above is of that file, not of a PDF). It is headed ""# 2024 Town Election Results"" and prints each office as a column pair. MODERATOR: ""Seth Alexander 199 / Blanks 45 / Write-ins 28 / Ronald Boucher 23 / Bryana Malloy 1 / Kathy Denault 1 / Colton Andrews 1 / Mark Denault 1 / John Jacobbe 1"". The named rows sum to 28, which is the Write-ins row printed above them. TREE WARDEN prints ""Write-ins 30"" over named rows summing to 30; WAR MEMORIAL ""Write-ins 24"" over 24; PLANNING BOARD ""Write-ins 13"" over 13. Four contests where the town publishes a write-in subtotal and then itemises it.","The subtotal and its own breakdown are both counted, so each of these four contests totals exactly one write-in subtotal more than the ballots cast, and layer 2 reports four arithmetically impossible contests in a town of 272 ballots. Nothing is wrong with the document or with the figures: 272 is what SELECTBOARD, SCHOOL COMMITTEE, BOARD OF HEALTH and LIBRARY TRUSTEE each total, and dropping the subtotal closes all four exactly. Setting the aggregate to 0 keeps every named write-in, which is the half that carries information. This is a parse shape, not a Clarksburg fact -- see the run note; 23 contests across 19 town-years have an excess exactly equal to their write-in row. || not applied: unrecognised field; enumerate what it IS before applying",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Clarksburg2024,2167c2cb8d46f2345db52dd3bc0c4134d7864d6703d85e7acf1ed8e4685aa429,"elections[6] (WAR MEMORIAL): the 'Others' tally row, which is the document's printed Write-ins SUBTOTAL",24,0 (the named write-ins below it already carry these votes),"No PDF is held for this town-year in the published set, so the reading read was data/markdown/Clarksburg2024.md (sha256 above is of that file, not of a PDF). It is headed ""# 2024 Town Election Results"" and prints each office as a column pair. MODERATOR: ""Seth Alexander 199 / Blanks 45 / Write-ins 28 / Ronald Boucher 23 / Bryana Malloy 1 / Kathy Denault 1 / Colton Andrews 1 / Mark Denault 1 / John Jacobbe 1"". The named rows sum to 28, which is the Write-ins row printed above them. TREE WARDEN prints ""Write-ins 30"" over named rows summing to 30; WAR MEMORIAL ""Write-ins 24"" over 24; PLANNING BOARD ""Write-ins 13"" over 13. Four contests where the town publishes a write-in subtotal and then itemises it.","The subtotal and its own breakdown are both counted, so each of these four contests totals exactly one write-in subtotal more than the ballots cast, and layer 2 reports four arithmetically impossible contests in a town of 272 ballots. Nothing is wrong with the document or with the figures: 272 is what SELECTBOARD, SCHOOL COMMITTEE, BOARD OF HEALTH and LIBRARY TRUSTEE each total, and dropping the subtotal closes all four exactly. Setting the aggregate to 0 keeps every named write-in, which is the half that carries information. This is a parse shape, not a Clarksburg fact -- see the run note; 23 contests across 19 town-years have an excess exactly equal to their write-in row. || not applied: unrecognised field; enumerate what it IS before applying",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Clarksburg2024,2167c2cb8d46f2345db52dd3bc0c4134d7864d6703d85e7acf1ed8e4685aa429,"elections[7] (PLANNING BOARD): the 'Others' tally row, which is the document's printed Write-ins SUBTOTAL",13,0 (the named write-ins below it already carry these votes),"No PDF is held for this town-year in the published set, so the reading read was data/markdown/Clarksburg2024.md (sha256 above is of that file, not of a PDF). It is headed ""# 2024 Town Election Results"" and prints each office as a column pair. MODERATOR: ""Seth Alexander 199 / Blanks 45 / Write-ins 28 / Ronald Boucher 23 / Bryana Malloy 1 / Kathy Denault 1 / Colton Andrews 1 / Mark Denault 1 / John Jacobbe 1"". The named rows sum to 28, which is the Write-ins row printed above them. TREE WARDEN prints ""Write-ins 30"" over named rows summing to 30; WAR MEMORIAL ""Write-ins 24"" over 24; PLANNING BOARD ""Write-ins 13"" over 13. Four contests where the town publishes a write-in subtotal and then itemises it.","The subtotal and its own breakdown are both counted, so each of these four contests totals exactly one write-in subtotal more than the ballots cast, and layer 2 reports four arithmetically impossible contests in a town of 272 ballots. Nothing is wrong with the document or with the figures: 272 is what SELECTBOARD, SCHOOL COMMITTEE, BOARD OF HEALTH and LIBRARY TRUSTEE each total, and dropping the subtotal closes all four exactly. Setting the aggregate to 0 keeps every named write-in, which is the half that carries information. This is a parse shape, not a Clarksburg fact -- see the run note; 23 contests across 19 town-years have an excess exactly equal to their write-in row. || not applied: unrecognised field; enumerate what it IS before applying",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Williamsburg2025,a226e6a0f89daa96d769fb2753252a76bff3ecabe5422709a96667d4501f6009,"elections[] -- a whole contest missing: ""Water /Sewer Comm. 1 yr.""",absent from the record,"Water /Sewer Comm. 1 yr. -- Blank 44, Donald Lawton 114 (Elected), Martin Sullivan 110 (Elected), Write-in 0; two seats, 268 marks = 134 x 2","Reopened 2026-09-06: both pages of Williamsburg2025_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 heads 'TOWN OF WILLIAMSBURG / Minutes of the Annual Election, Monday, May 5, 2025' and prints 'Votes Cast -134 (6.2%)' and 'Number of Eligible Voters - 2166'; page 2 is signed 'Filed: May 5, 2025 / A TRUE COPY ATTEST / Brenda Lessard, Williamsburg Town Clerk'. Page 1, left column: 'Elector Oliver Smith Will / Blank 29 / Richard Kisloski 105 E / Write-in 0' -- 29+105+0 = 134. Page 1, foot of the left column: the heading 'Trust Fund/Cemetery Comm-3 yr.' and its 'Blank 28'; the block CONTINUES at the top of page 2's right column, 'Richard Kisloski 105 E / Write-in 1 / (indented) Dan Nye 1' -- 28+105+1 = 134. Two different contests, both with Kisloski at 105, split across the page break. On this sheet the indented name is a BREAKDOWN of the Write-in row above it: Finance Committee-1 yr reads 'Blank 130 / Write-in 4' with David Weber 1, Leila Lawrence 1, Eric Weber 1, Sean Malari 1 indented beneath, and 130+4 = 134 without them; Local School Comm.-3 yr reads 'Blank 266 / Write-in 2' with Ken Botnik 1 and Toni Boughton 1 beneath, and 266+2 = 268 = 134 x 2 without them; Selectman-3 yr reads 'Blank 1 / Paul Wetzel 132 E / Write-in 1 / Jason Harder 1' and 1+132+1 = 134.","Two winners are missing from the corpus entirely. The two contests sit side by side with near-identical figures (114/110 in both), which is exactly how a parse loses the second one, and no arithmetic check can see it: every contest that IS in the record still closes on 134 ballots. Found by counting office headings on the page against contests in the parse. || not applied: unrecognised field; enumerate what it IS before applying || Re-read 2026-09-06: the record NOW holds this contest -- elections[15] 'Water/Sewer Comm. 1 yr.', Donald Lawton 114, Martin Sullivan 110, Blanks 44, total 268 = 134 x 2 -- and it matches the page. The row's premise no longer holds; it can be closed.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Williamsburg2025,a226e6a0f89daa96d769fb2753252a76bff3ecabe5422709a96667d4501f6009,elections[6] (Local School Comm.-3 yr): the 'Others' tally row,2,0 (Ken Botnik 1 and Toni Boughton 1 are already in the record),"Reopened 2026-09-06: both pages of Williamsburg2025_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 heads 'TOWN OF WILLIAMSBURG / Minutes of the Annual Election, Monday, May 5, 2025' and prints 'Votes Cast -134 (6.2%)' and 'Number of Eligible Voters - 2166'; page 2 is signed 'Filed: May 5, 2025 / A TRUE COPY ATTEST / Brenda Lessard, Williamsburg Town Clerk'. Page 1, left column: 'Elector Oliver Smith Will / Blank 29 / Richard Kisloski 105 E / Write-in 0' -- 29+105+0 = 134. Page 1, foot of the left column: the heading 'Trust Fund/Cemetery Comm-3 yr.' and its 'Blank 28'; the block CONTINUES at the top of page 2's right column, 'Richard Kisloski 105 E / Write-in 1 / (indented) Dan Nye 1' -- 28+105+1 = 134. Two different contests, both with Kisloski at 105, split across the page break. On this sheet the indented name is a BREAKDOWN of the Write-in row above it: Finance Committee-1 yr reads 'Blank 130 / Write-in 4' with David Weber 1, Leila Lawrence 1, Eric Weber 1, Sean Malari 1 indented beneath, and 130+4 = 134 without them; Local School Comm.-3 yr reads 'Blank 266 / Write-in 2' with Ken Botnik 1 and Toni Boughton 1 beneath, and 266+2 = 268 = 134 x 2 without them; Selectman-3 yr reads 'Blank 1 / Paul Wetzel 132 E / Write-in 1 / Jason Harder 1' and 1+132+1 = 134.","The subtotal and its own breakdown are both counted, so the contest totals 270 against 134 x 2 = 268 and reads as arithmetically impossible. Dropping the subtotal closes it exactly and keeps both names. || not applied: unrecognised field; enumerate what it IS before applying || VERIFIED 2026-09-06 at 250dpi: the printed block is 'Blank 266 / Write-in 2' with Ken Botnik 1 and Toni Boughton 1 indented beneath it, and 266+2 = 268 = 134 x 2 exactly. Zeroing the subtotal and keeping both names is the reading the document supports, and it keeps the names.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Williamsburg2025,a226e6a0f89daa96d769fb2753252a76bff3ecabe5422709a96667d4501f6009,"elections[11] (Selectman-3 yr): the 'Others' tally row, and a write-in name never recorded","Others 2, and no candidate named Jason Harder","Others 1 (the printed Write-in row), plus a candidate 'Jason Harder' with 1 vote","Reopened 2026-09-06: both pages of Williamsburg2025_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 heads 'TOWN OF WILLIAMSBURG / Minutes of the Annual Election, Monday, May 5, 2025' and prints 'Votes Cast -134 (6.2%)' and 'Number of Eligible Voters - 2166'; page 2 is signed 'Filed: May 5, 2025 / A TRUE COPY ATTEST / Brenda Lessard, Williamsburg Town Clerk'. Page 1, left column: 'Elector Oliver Smith Will / Blank 29 / Richard Kisloski 105 E / Write-in 0' -- 29+105+0 = 134. Page 1, foot of the left column: the heading 'Trust Fund/Cemetery Comm-3 yr.' and its 'Blank 28'; the block CONTINUES at the top of page 2's right column, 'Richard Kisloski 105 E / Write-in 1 / (indented) Dan Nye 1' -- 28+105+1 = 134. Two different contests, both with Kisloski at 105, split across the page break. On this sheet the indented name is a BREAKDOWN of the Write-in row above it: Finance Committee-1 yr reads 'Blank 130 / Write-in 4' with David Weber 1, Leila Lawrence 1, Eric Weber 1, Sean Malari 1 indented beneath, and 130+4 = 134 without them; Local School Comm.-3 yr reads 'Blank 266 / Write-in 2' with Ken Botnik 1 and Toni Boughton 1 beneath, and 266+2 = 268 = 134 x 2 without them; Selectman-3 yr reads 'Blank 1 / Paul Wetzel 132 E / Write-in 1 / Jason Harder 1' and 1+132+1 = 134.","Same double count -- the contest totals 135 against 134 ballots -- and the write-in's name was dropped while his vote was kept, which is the failure mode no sum can see. Recording him and taking the subtotal at its printed 1 closes the contest at 134. || not applied: unrecognised field; enumerate what it IS before applying || VERIFIED 2026-09-06 at 250dpi: the printed block is 'Blank 1 / Paul Wetzel 132 E / Write-in 1 / (indented) Jason Harder 1' and 1+132+1 = 134. Others 1 with Jason Harder recorded is what the page prints.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Williamsburg2025,a226e6a0f89daa96d769fb2753252a76bff3ecabe5422709a96667d4501f6009,elections[5] (Finance Committee-1 yr): four write-in names never recorded,"Others 4, with no names","Others 0, plus David Weber 1, Leila Lawrence 1, Eric Weber 1, Sean Malari 1","Reopened 2026-09-06: both pages of Williamsburg2025_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 heads 'TOWN OF WILLIAMSBURG / Minutes of the Annual Election, Monday, May 5, 2025' and prints 'Votes Cast -134 (6.2%)' and 'Number of Eligible Voters - 2166'; page 2 is signed 'Filed: May 5, 2025 / A TRUE COPY ATTEST / Brenda Lessard, Williamsburg Town Clerk'. Page 1, left column: 'Elector Oliver Smith Will / Blank 29 / Richard Kisloski 105 E / Write-in 0' -- 29+105+0 = 134. Page 1, foot of the left column: the heading 'Trust Fund/Cemetery Comm-3 yr.' and its 'Blank 28'; the block CONTINUES at the top of page 2's right column, 'Richard Kisloski 105 E / Write-in 1 / (indented) Dan Nye 1' -- 28+105+1 = 134. Two different contests, both with Kisloski at 105, split across the page break. On this sheet the indented name is a BREAKDOWN of the Write-in row above it: Finance Committee-1 yr reads 'Blank 130 / Write-in 4' with David Weber 1, Leila Lawrence 1, Eric Weber 1, Sean Malari 1 indented beneath, and 130+4 = 134 without them; Local School Comm.-3 yr reads 'Blank 266 / Write-in 2' with Ken Botnik 1 and Toni Boughton 1 beneath, and 266+2 = 268 = 134 x 2 without them; Selectman-3 yr reads 'Blank 1 / Paul Wetzel 132 E / Write-in 1 / Jason Harder 1' and 1+132+1 = 134.","The contest already closes at 134 and no check will ever flag it, which is the point: four people who received votes are in the document and not in the corpus. The breakdown continues across a column break, which is probably why it was missed. || VERIFIED 2026-09-06 at 250dpi: the printed block is 'Blank 130 / Write-in 4' with David Weber 1, Leila Lawrence 1, Eric Weber 1 and Sean Malari 1 indented beneath, the breakdown running across the page-1 column break. 130+4 = 134, so the four names are inside the 4 and the subtotal must go to 0 in the same edit.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Williamsburg2025,a226e6a0f89daa96d769fb2753252a76bff3ecabe5422709a96667d4501f6009,elections[3] (Elector Oliver Smith Will): a write-in name never recorded,Richard Kisloski 105 and Blanks 29 only,"also Write-in 1, of which Dan Nye 1 -- as the document prints it","Reopened 2026-09-06: both pages of Williamsburg2025_d0.pdf rendered with PyMuPDF at 250dpi. Page 1 heads 'TOWN OF WILLIAMSBURG / Minutes of the Annual Election, Monday, May 5, 2025' and prints 'Votes Cast -134 (6.2%)' and 'Number of Eligible Voters - 2166'; page 2 is signed 'Filed: May 5, 2025 / A TRUE COPY ATTEST / Brenda Lessard, Williamsburg Town Clerk'. Page 1, left column: 'Elector Oliver Smith Will / Blank 29 / Richard Kisloski 105 E / Write-in 0' -- 29+105+0 = 134. Page 1, foot of the left column: the heading 'Trust Fund/Cemetery Comm-3 yr.' and its 'Blank 28'; the block CONTINUES at the top of page 2's right column, 'Richard Kisloski 105 E / Write-in 1 / (indented) Dan Nye 1' -- 28+105+1 = 134. Two different contests, both with Kisloski at 105, split across the page break. On this sheet the indented name is a BREAKDOWN of the Write-in row above it: Finance Committee-1 yr reads 'Blank 130 / Write-in 4' with David Weber 1, Leila Lawrence 1, Eric Weber 1, Sean Malari 1 indented beneath, and 130+4 = 134 without them; Local School Comm.-3 yr reads 'Blank 266 / Write-in 2' with Ken Botnik 1 and Toni Boughton 1 beneath, and 266+2 = 268 = 134 x 2 without them; Selectman-3 yr reads 'Blank 1 / Paul Wetzel 132 E / Write-in 1 / Jason Harder 1' and 1+132+1 = 134.","A named write-in dropped. Note that the town's own figures for this contest sum to 135 against 134 votes cast, so recording it will make the contest read as one mark over; that is the document's arithmetic and not a reading error, and it is better visible than absent. || REJECTED 2026-09-06 after reopening both pages. The Dan Nye write-in is NOT in this contest. 'Elector Oliver Smith Will' prints 'Blank 29 / Richard Kisloski 105 E / Write-in 0' and closes at 134 as held. The 'Richard Kisloski 105 E / Write-in 1 / Dan Nye 1' on page 2 is the tail of 'Trust Fund/Cemetery Comm-3 yr.', whose heading and 'Blank 28' sit at the foot of page 1; 28+105+1 = 134. Kisloski stood in both contests, which is what made the two blocks look like one. Do not apply this row. The real defect is the Trust Fund block -- see the row filed for it.",needs-owner,civicatlas-qa (unattended run),2026-09-06,
Salem2023,11612fa68d1d0cb199980426c174c154e22351c8e86ffcdd8ea20b5c13c9be60,elections[COUNCILLOR WARD FOUR].candidates[IAN MICHAEL MCLEOD].votes,555,255,"Page image, p5 at 200dpi, read by eye and not from the OCR: heading ""CITY OF SALEM / CITY BIENNIAL ELECTION / NOVEMBER 7, 2023 / OFFICIAL RESULTS"", top right ""...ered Vote: 33,217"" and ""Voter turnout: 20%"". Block ""COUNCILLOR WARD FOUR"", column headings ""4 - 1"" and ""4 - 2"": row 25 BLANKS 20 | 23 | 43; row 26 ""IAN MICHAEL MCLEOD 156 | 99 | 255""; row 27 ""JOHN C. HARVEY 276 | 286 | 562""; row 28 ""WRITE-INS (Others) 0 | 2 | 2""; row 29 ""TOTALS 452 | 410 | 862"". The OCR agrees. Registers differ page by page and the owner asked that this be checked: p1 ""SPECIAL PRELIMINARY ELECTION MARCH 28, 2023"" Registered Voters: 32,998, turnout 22%; p2 ""MAYORAL SPECIAL FINAL ELECTION MAY 16, 2023"" Registered Voters: 32,915, turnout 28%; p3 ""PRELIMINARY ELECTION SEPTEMBER 19, 2023"" Registered Voters: 4,297, turnout 14.25% (one ward only -- the block is COUNCILLOR WARD ONE); pp4-5 ""CITY BIENNIAL ELECTION NOVEMBER 7, 2023"" Registered Vote: 33,217, turnout 20%. The figures below are read off pp4-5 only.","A single misread digit, 2 -> 5, invisible to any check that asks who won: Harvey wins on either figure. Confirmed three ways off the page. Across the row, 156 + 99 = 255. Down the block, 43 + 255 + 562 + 2 = 862, the printed TOTALS; at 555 it would be 1162. And the ward-4 columns of the two municipality-wide contests on p4 give the same ballot figure independently: COUNCILLOR AT LARGE 1808 + 1640 = 3448 = 862 x 4, SCHOOL COMMITTEE 1356 + 1230 = 2586 = 862 x 3. With 255 restored the seven ward blocks sum to 6639, which is the town ballot count, and 6639 / 33,217 = 20.0%, the turnout printed on the same page. Owner approved by email 2026-09-06: ""I think yes apply 255 but double check."" || not applied: raw_ocr+markdown contains BOTH spellings; a string test cannot choose",needs-owner,"owner (email 2026-09-06), double-checked against the page image by civicatlas-qa",2026-09-06,
Salem2023,11612fa68d1d0cb199980426c174c154e22351c8e86ffcdd8ea20b5c13c9be60,elections[SCHOOL COMMITTEE].num_winners,5,3,"Page image, p4 at 200dpi, read by eye: heading ""CITY OF SALEM / CITY BIENNIAL ELECTION / NOVEMBER 7, 2023 / OFFICIAL RESULTS"", top right ""Re[giste]red Vote: 33,217"" and ""Total Voter turnout:20%"". Row 15 is headed only ""SCHOOL COMMITTEE"" -- no seat count is printed beside it, and no ""vote for no more than"" appears anywhere in the 21 pages. Rows: BLANKS 7578, MARY A. MANNING 3758, AJ HOFFMAN 2595, H. MEHMET GULERGUN 2578, VERONICA JOY MIRANDA 3385, ""WRITE-INS (Others)"" 23, ""TOTALS ... 19917"". Above it ""COUNCILLOR AT LARGE ... TOTALS ... 26556"". Registers differ page by page and the owner asked that this be checked: p1 ""SPECIAL PRELIMINARY ELECTION MARCH 28, 2023"" Registered Voters: 32,998, turnout 22%; p2 ""MAYORAL SPECIAL FINAL ELECTION MAY 16, 2023"" Registered Voters: 32,915, turnout 28%; p3 ""PRELIMINARY ELECTION SEPTEMBER 19, 2023"" Registered Voters: 4,297, turnout 14.25% (one ward only -- the block is COUNCILLOR WARD ONE); pp4-5 ""CITY BIENNIAL ELECTION NOVEMBER 7, 2023"" Registered Vote: 33,217, turnout 20%. The figures below are read off pp4-5 only.","Not printed, so it is derived, and the derivation is independent of any num_winners: the seven ward councillor blocks on p5 are single-seat with blanks printed, so each block total is its wards ballots, and 1114 + 1203 + 906 + 862 + 878 + 942 + 734 = 6639. Against that, 19917 = 3 x 6639 exactly and 26556 = 4 x 6639 exactly; at 5 seats the School Committee block would have to close at 33195. Corroborated outside the document by the owner, email 2026-09-06: ""Salem elects 3 members of the School Committee every 2 years to 4 year terms (since it has 7 = mayor + 6, I assume they rotate?)"" -- six elected members on staggered four-year terms, three up at each biennial election, which is what 2023 is. It decides a seat: at 3, Gulergun loses to Hoffman by 17; at 5 all four candidates won. || not applied: num_winners is a judgement, not a string test",needs-owner,"owner (email 2026-09-06, seat count from his own research), read by civicatlas-qa",2026-09-06,
Salem2023,11612fa68d1d0cb199980426c174c154e22351c8e86ffcdd8ea20b5c13c9be60,"elections[0] (2023-05-16 MAYOR special, the record row moving to SSalem20230516).candidates[NEIL J. HARRINGTON].votes and .candidates[ROBERT K. MCCARTHY].votes","HARRINGTON 4300, MCCARTHY 1","HARRINGTON 4390, MCCARTHY 6","Reopened 2026-09-06: page 2 of Salem2023_d0.pdf rendered with PyMuPDF at 300dpi. Heading verbatim: 'CITY OF SALEM / MAYORAL SPECIAL / FINAL ELECTION / MAY 16, 2023 / OFFICIAL RESULTS', left margin 'TO FILL THE VACANCY OF THE MAYOR FOR THE REMAINDER OF THE TERM 1ST MONDAY IN 2026', top right 'Registered Voters: 32,915' and '% of Turnout: 28%'. The MAYOR block reads, by row: BLANKS 20; DOMINICK PANGALLO 4827; NEIL J. HARRINGTON 4390; WRITE-INS 2; ROBERT K. MCCARTHY 6; TOTALS 9245. 20+4827+4390+2+6 = 9245 exactly, so on this sheet the indented named write-in is counted IN ADDITION to the WRITE-INS row, not as a breakdown of it.","Found while double-checking which page carries which register, as the owner asked. Two misreads on the same row block, neither of which changes the winner -- Pangallo takes it on 4827 either way -- and neither of which any current check can see, because the contest is a one-seat at_large race and 9150 marks is under 9245 ballots rather than over it, so marks_exceed_ballots stays silent. The document closes on the printed figures and not on the record: 20 + 4827 + 4390 + 2 + 6 = 9245, the printed TOTALS, while the record gives 9150, ninety-five short. Both corrections are confirmed by column sums too: precinct 1-1 reads 1 + 547 + 462 + 0 + 5 = 1015, and precinct 4-2 reads 2 + 212 + 414 + 0 + 1 = 629, each matching its printed column total. Proposed rather than approved: the owner has not seen this one, and it belongs to the contest that row 2 moves out to SSalem20230516, so it should be applied wherever that row lands. || VERIFIED 2026-09-06 at 300dpi: HARRINGTON reads 4390 and MCCARTHY 6, and the printed TOTALS row 9245 only balances on those two figures.",verified,civicatlas-qa (unattended run),2026-09-06,
