stem,municipality,population,rung,class,contests,reason,page_prints_seats_the_arithmetic_denies
Mashpee2011,Mashpee,15060,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Mashpee2013,Mashpee,15060,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Mashpee2015,Mashpee,15060,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Mashpee2016,Mashpee,15060,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Holliston2004,Holliston,14996,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Holliston2009,Holliston,14996,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Holliston2012,Holliston,14996,review,no date could be derived,10,SELECTMAN & HIGHWAY SURVEYOR (three year term): no candidates,
Holliston2013,Holliston,14996,review,other,1,only one contest -- a return usually elects several,
Holliston2016,Holliston,14996,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hanover2000,Hanover,14833,review,seat count nobody could establish,9,SELECTMEN: seats inferred as 2 but the totals imply 1,
Hanover2002,Hanover,14833,hold,impossible arithmetic,13,ASSESSORS (1 Year): 2297 marks exceeds 2287x1=2287 -- impossible,
Hanover2006,Hanover,14833,hold,impossible arithmetic,11,SCHOOL COMMITTEE 3 YEARS: 3766 marks exceeds 1833x2=3666 -- impossible,
Hanover2011,Hanover,14833,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hanover2014,Hanover,14833,hold,impossible arithmetic,12,Housing Authority (1 for 3 year term): 621 marks exceeds 610x1=610 -- impossible,
Hanover2016,Hanover,14833,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wilbraham2012,Wilbraham,14613,hold,impossible arithmetic,11,SELECTMAN – 3 YRS.: 1152 marks exceeds 892x1=892 -- impossible,
Wilbraham2013,Wilbraham,14613,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wilbraham2014,Wilbraham,14613,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wilbraham2015,Wilbraham,14613,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wilbraham2016,Wilbraham,14613,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wilbraham2017,Wilbraham,14613,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wilbraham2019,Wilbraham,14613,hold,locator: no contest in the cut,0,the parse found no contest in this section,
EastBridgewater2012,EastBridgewater,14440,review,seat count nobody could establish,9,SCHOOL COMMITTEE: seats inferred as 3 but the totals imply 2,
EastBridgewater2014,EastBridgewater,14440,review,seat count nobody could establish,9,SCHOOL COMMITTEE: seats inferred as 3 but the totals imply 2,
EastBridgewater2015,EastBridgewater,14440,hold,locator: no contest in the cut,0,the parse found no contest in this section,
EastBridgewater2018,EastBridgewater,14440,review,seat count nobody could establish,9,BOARD OF HEALTH: seats inferred as 2 but the totals imply 1,
EastBridgewater2019,EastBridgewater,14440,hold,locator: no contest in the cut,0,the parse found no contest in this section,
EastBridgewater2020,EastBridgewater,14440,review,seat count nobody could establish,8,SELECTMEN: seats inferred as 2 but the totals imply 1,
Bedford2007,Bedford,14383,review,seat count nobody could establish,9,LIBRARY TRUSTEE: seats inferred as 4 but the totals imply 3,
Bedford2008,Bedford,14383,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Bedford2009,Bedford,14383,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Bedford2011,Bedford,14383,review,other,8,no two contests agree on a ballot count,
Bedford2019,Bedford,14383,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Uxbridge2006,Uxbridge,14162,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Uxbridge2010,Uxbridge,14162,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Uxbridge2013,Uxbridge,14162,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Uxbridge2014,Uxbridge,14162,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2005,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2007,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2009,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2010,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2013,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2014,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2015,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2017,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wayland2019,Wayland,13943,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Millbury2008,Millbury,13831,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Millbury2013,Millbury,13831,hold,impossible arithmetic,7,HOUSING AUTHORITY 5 YEARS: 2990 marks exceeds 2969x1=2969 -- impossible,
Millbury2015,Millbury,13831,review,seat count nobody could establish,12,HOUSING AUTHORITY 4 YEARS: seats inferred as 2 but the totals imply 1,
Millbury2016,Millbury,13831,hold,impossible arithmetic,10,SCHOOL COMMITTEE 3 YEARS: 3138 marks exceeds 1569x1=1569 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: '3 YEARS'
Millbury2020,Millbury,13831,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ipswich2020,Ipswich,13785,hold,impossible arithmetic,5,SCHOOL COMMITTEE: 2642 marks exceeds 872x3=2616 -- impossible,
Charlton2009,Charlton,13315,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Medway2014,Medway,13115,review,seat count nobody could establish,10,QUESTION1: seat count left null by the transcriber,
Medway2015,Medway,13115,review,seat count nobody could establish,9,BOARD OF SELECTMEN: seat count left null by the transcriber,
Medway2016,Medway,13115,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Medway2018,Medway,13115,review,seat count nobody could establish,11,SCHOOL COMMITTEE 1yr: seats inferred as 2 but the totals imply 1,
Lynnfield2012,Lynnfield,13000,hold,impossible arithmetic,9,HOUSING AUTHORITY 2 YR.: 1799 marks exceeds 1778x1=1778 -- impossible,
Lynnfield2014,Lynnfield,13000,review,seat count nobody could establish,10,HOUSING AUTHORITY 5 YR.: seat count left null by the transcriber,
Lynnfield2016,Lynnfield,13000,review,seat count nobody could establish,8,SELECTMEN: seat count left null by the transcriber,
Lynnfield2017,Lynnfield,13000,review,seat count nobody could establish,8,SELECTMEN: seat count left null by the transcriber,
Lynnfield2018,Lynnfield,13000,review,seat count nobody could establish,8,SELECTMEN: seat count left null by the transcriber,
Medfield2001,Medfield,12799,review,a figure nobody could read,12,Park Commissioners (vote for not more than two): a figure was not readable,
Medfield2003,Medfield,12799,review,seat count nobody could establish,10,Selectmen (3 years): seats inferred as 3 but the totals imply 1,
Medfield2004,Medfield,12799,review,seat count nobody could establish,4,REPRESENTATIVE IN GENERAL COURT: seat count left null by the transcriber,
Rehoboth2008,Rehoboth,12502,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rehoboth2012,Rehoboth,12502,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Tyngsborough2011,Tyngsborough,12380,hold,impossible arithmetic,15,Housing Authority: 1294 marks exceeds 1293x1=1293 -- impossible,
Tyngsborough2015,Tyngsborough,12380,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Wrentham2014,Wrentham,12178,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Spencer2013,Spencer,11992,review,seat count nobody could establish,12,Board of Selectmen: seats inferred as 3 but the totals imply 2,
Spencer2015,Spencer,11992,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Spencer2016,Spencer,11992,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Spencer2017,Spencer,11992,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Spencer2019,Spencer,11992,review,seat count nobody could establish,14,Constable: seats inferred as 5 but the totals imply 3,
Lunenburg2011,Lunenburg,11782,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lunenburg2015,Lunenburg,11782,review,a figure nobody could read,16,CEMETERY COMMISSIONER – For 3 years / Vote for One: a figure was not readable,
Lunenburg2017,Lunenburg,11782,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lunenburg2019,Lunenburg,11782,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Norfolk2000,Norfolk,11662,review,a figure nobody could read,13,HOUSING AUTHORITY MEMBER TO FILL 2 YEAR UNEXPIRED TERM: a figure was not readable,
Norfolk2004,Norfolk,11662,review,seat count nobody could establish,12,HOUSING AUTHORITY: seat count left null by the transcriber,
Norfolk2005,Norfolk,11662,review,a figure nobody could read,13,BOARD OF HEALTH: a figure was not readable,
Norfolk2006,Norfolk,11662,review,seat count nobody could establish,10,PLANNING BOARD: seats inferred as 2 but the totals imply 1,
Norfolk2015,Norfolk,11662,review,a figure nobody could read,11,KP School Committee - one 3 year term: a figure was not readable,
Norfolk2016,Norfolk,11662,hold,impossible arithmetic,9,Board of Health: 717 marks exceeds 691x1=691 -- impossible,
Norfolk2020,Norfolk,11662,review,seat count nobody could establish,11,Select Board: seat count left null by the transcriber,
Carver2000,Carver,11645,hold,impossible arithmetic,27,Moderator - 1 year ( Vote for 1): 457 marks exceeds 326x1=326 -- impossible,
Carver2001,Carver,11645,hold,impossible arithmetic,36,Moderator - 1 year (Vote for 1): 789 marks exceeds 777x1=777 -- impossible,
Carver2002,Carver,11645,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Carver2004,Carver,11645,hold,impossible arithmetic,33,Selectman - 3 Years: 373 marks exceeds 338x1=338 -- impossible,
Carver2005,Carver,11645,hold,impossible arithmetic,27,Selectmen - 3 Years: 1562 marks exceeds 544x2=1088 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Member of School Board - 3 Years'
Carver2006,Carver,11645,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Carver2007,Carver,11645,hold,impossible arithmetic,42,Selectmen - 3 Years: 647 marks exceeds 633x1=633 -- impossible,
Carver2008,Carver,11645,review,seat count nobody could establish,8,Selectmen - 3 Years: seats inferred as 3 but the totals imply 2,
Carver2009,Carver,11645,review,seat count nobody could establish,13,Library Trustees - 1 Year: seat count left null by the transcriber,
Carver2010,Carver,11645,hold,impossible arithmetic,15,Library Trustees - 3 Years: 4046 marks exceeds 2023x1=2023 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Library Trustees - 3 Years'
Carver2012,Carver,11645,review,seat count nobody could establish,13,Board of Selectmen - 3 Years: seats inferred as 4 but the totals imply 2,
Carver2013,Carver,11645,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Carver2019,Carver,11645,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Pepperell2018,Pepperell,11604,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Pepperell2019,Pepperell,11604,review,a figure nobody could read,11,Vote for One (1 year) Board of Public Works: a figure was not readable,
Pepperell2020,Pepperell,11604,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lakeville2015,Lakeville,11523,review,seat count nobody could establish,14,LIBRARY TRUSTEE for 3 yrs: seats inferred as 3 but the totals imply 1,
Norwell2013,Norwell,11351,hold,impossible arithmetic,13,PLANNING BOARD – Three Years – Vote for One: 4312 marks exceeds 542x1=542 -- impossible,
Norwell2017,Norwell,11351,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Norwell2018,Norwell,11351,hold,impossible arithmetic,9,BOARD OF SELECTMEN-Three Years-Vote for One: 3084 marks exceeds 1542x1=1542 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Norwell2019,Norwell,11351,hold,impossible arithmetic,10,BOARD OF ASSESSORS-Three Years-Vote for One: 451 marks exceeds 449x1=449 -- impossible,
Norwell2020,Norwell,11351,hold,impossible arithmetic,9,NORWELL PUBLIC LIBRARY TRUSTEES-Three Years-Vote for Two: 1174 marks exceeds 537x2=1074 -- impossible,
Groton2011,Groton,11315,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Groton2017,Groton,11315,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Groton2020,Groton,11315,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Maynard2015,Maynard,10746,review,seat count nobody could establish,8,REGIONAL VOCATIONAL SCHOOL COMMITTEE: seat count left null by the transcriber,
Maynard2020,Maynard,10746,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hanson2015,Hanson,10639,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hanson2016,Hanson,10639,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Southborough2005,Southborough,10450,review,seat count nobody could establish,10,Library Trustees: seat count left null by the transcriber,
Southborough2018,Southborough,10450,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Southborough2019,Southborough,10450,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Winchendon2016,Winchendon,10364,review,seat count nobody could establish,6,SELECTMEN: seats inferred as 3 but the totals imply 2,
Brewster2020,Brewster,10318,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Littleton2003,Littleton,10141,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Littleton2008,Littleton,10141,review,a figure nobody could read,14,COMMISSIONER OF TRUST FUNDS: a figure was not readable,
Littleton2009,Littleton,10141,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Littleton2013,Littleton,10141,review,no date could be derived,18,no election date could be derived,
Littleton2016,Littleton,10141,review,seat count nobody could establish,14,BOARD OF SELECTMEN: seats inferred as 3 but the totals imply 2,
Littleton2017,Littleton,10141,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hull2008,Hull,10072,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Hull2010,Hull,10072,hold,impossible arithmetic,9,"MUNICIPAL LIGHT BOARD, 3 years (2): 6776 marks exceeds 3373x2=6746 -- impossible",
Hull2011,Hull,10072,hold,impossible arithmetic,10,"SELECTMAN, 3 years: 3894 marks exceeds 1947x1=1947 -- impossible",marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Two Members of the Board of Selectmen to serve
Hull2012,Hull,10072,review,seat count nobody could establish,9,BOARD OF SELECTMEN: seat count left null by the transcriber,
Hull2013,Hull,10072,review,seat count nobody could establish,11,BOARD OF SELECTMEN: seat count left null by the transcriber,
Hull2014,Hull,10072,review,seat count nobody could establish,10,BOARD OF SELECTMEN: seat count left null by the transcriber,
Hull2015,Hull,10072,review,seat count nobody could establish,7,BOARD OF SELECTMEN: seat count left null by the transcriber,
Hull2016,Hull,10072,hold,impossible arithmetic,10,TRUSTEES IF PUBLIC LIBRARY - Vote for TWO: 7246 marks exceeds 3574x2=7148 -- impossible,
Hull2020,Hull,10072,review,a figure nobody could read,8,Selectman - Vote for TWO: a figure was not readable,
Plainville2018,Plainville,9945,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sturbridge2018,Sturbridge,9867,hold,impossible arithmetic,10,STURBRIDGE SCHOOL COMMITTEE For 3 year Vote for One: 1366 marks exceeds 780x1=780 -- impossible,
Middleton2013,Middleton,9779,review,seat count nobody could establish,10,Elementary School Committee: seats inferred as 3 but the totals imply 2,
Middleton2016,Middleton,9779,review,seat count nobody could establish,11,Elementary School Committee: seats inferred as 3 but the totals imply 2,
Sutton2007,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2010,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2012,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2013,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2014,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2015,Sutton,9357,review,a figure nobody could read,1,Selectmen: a figure was not readable,
Sutton2017,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2018,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2019,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Sutton2020,Sutton,9357,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Salisbury2010,Salisbury,9236,review,no date could be derived,6,no election date could be derived,
Salisbury2013,Salisbury,9236,review,seat count nobody could establish,6,SELECTMAN: seat count left null by the transcriber,
Southwick2006,Southwick,9232,hold,impossible arithmetic,11,PARK AND REC COMMISSION ELECT ONE-3 YEARS: 2370 marks exceeds 1185x1=1185 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'ELECT ONE-3 YEARS'
Southwick2011,Southwick,9232,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Southwick2012,Southwick,9232,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Southwick2015,Southwick,9232,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Southwick2016,Southwick,9232,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Southwick2020,Southwick,9232,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Blackstone2011,Blackstone,9208,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Blackstone2012,Blackstone,9208,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Blackstone2016,Blackstone,9208,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Blackstone2020,Blackstone,9208,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Freetown2008,Freetown,9206,review,a figure nobody could read,10,Library Trustees (vote for 2): a figure was not readable,
Freetown2020,Freetown,9206,review,seat count nobody could establish,16,"SELECTMAN, BOARD OF HEALTH, & PERSONNEL BOARD MEMBER: seat count left null by the transcriber",
Rutland2014,Rutland,9049,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rutland2017,Rutland,9049,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rutland2018,Rutland,9049,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rutland2019,Rutland,9049,review,seat count nobody could establish,10,Capital Expenditure Exclusion Q # 1: seat count left null by the transcriber,
Montague2015,Montague,8580,review,a figure nobody could read,21,"PUBLIC LIBRARY TRUSTEE, for THREE years: a figure was not readable",
Montague2016,Montague,8580,review,seat count nobody could establish,27,"TOWN MEETING MEMBERS, For three years Precinct 1: seats inferred as 7 but the totals imply 2",
Montague2018,Montague,8580,review,a figure nobody could read,17,"TOWN MEETING MEMBERS, for THREE years PRECINCT 2: a figure was not readable",
Ayer2011,Ayer,8479,review,seat count nobody could establish,17,Selectman: seat count left null by the transcriber,
Ayer2013,Ayer,8479,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ayer2016,Ayer,8479,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ayer2017,Ayer,8479,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ayer2018,Ayer,8479,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ayer2019,Ayer,8479,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ayer2020,Ayer,8479,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Georgetown2002,Georgetown,8470,review,no date could be derived,8,no election date could be derived,
Millis2018,Millis,8460,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Millis2020,Millis,8460,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lancaster2003,Lancaster,8441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lancaster2004,Lancaster,8441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lancaster2007,Lancaster,8441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lancaster2009,Lancaster,8441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lancaster2012,Lancaster,8441,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Lancaster2013,Lancaster,8441,review,seat count nobody could establish,9,NRSD COMMITTEE: seat count left null by the transcriber,
Lancaster2015,Lancaster,8441,review,no date could be derived,9,no election date could be derived,
Cohasset2006,Cohasset,8381,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cohasset2008,Cohasset,8381,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cohasset2010,Cohasset,8381,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cohasset2011,Cohasset,8381,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Cohasset2013,Cohasset,8381,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Westminster2013,Westminster,8213,review,seat count nobody could establish,13,Board of Selectman-3 years: seats inferred as 3 but the totals imply 1,
Westminster2014,Westminster,8213,hold,impossible arithmetic,16,Housing Authority-5 years: 84 marks exceeds 79x1=79 -- impossible,
Boxford2019,Boxford,8203,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Boxford2020,Boxford,8203,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Templeton2015,Templeton,8149,review,seat count nobody could establish,16,"QUES. 1 $300,000.00 EXCAVATOR FOR HIGHWAY: seat count left null by the transcriber",
Sterling2007,Sterling,7985,hold,impossible arithmetic,12,LIBRARY TRUSTEES - (2) 3 year: 1425 marks exceeds 701x2=1402 -- impossible,
Sterling2008,Sterling,7985,review,seat count nobody could establish,11,LIBRARY TRUSTEES - 3 year: seat count left null by the transcriber,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'WRSD - 3 years'
Sterling2009,Sterling,7985,review,seat count nobody could establish,10,MUNICIPAL LIGHT BOARD: seats inferred as 2 but the totals imply 1,
Sterling2011,Sterling,7985,review,seat count nobody could establish,10,BOARD OF SELECTMEN: seat count left null by the transcriber,
Sterling2012,Sterling,7985,review,a figure nobody could read,12,BOARD OF LIBRARY TRUSTEES (3 year term): a figure was not readable,
Sterling2015,Sterling,7985,review,no date could be derived,11,no election date could be derived,
Sterling2020,Sterling,7985,review,seat count nobody could establish,13,STERLING HOUSING AUTHORITY (5yrs): seat count left null by the transcriber,
Halifax2015,Halifax,7749,hold,impossible arithmetic,15,Board of Health: 1002 marks exceeds 862x1=862 -- impossible,
Halifax2020,Halifax,7749,review,a figure nobody could read,15,Housing Authority (3 year term): a figure was not readable,
Orange2012,Orange,7569,review,a figure nobody could read,14,Regional School Committee (2): a figure was not readable,
Hamilton2009,Hamilton,7561,review,a figure nobody could read,8,One Assessor for three years: a figure was not readable,
Hamilton2010,Hamilton,7561,review,no date could be derived,9,Town Moderator for one year: no candidates,
Hamilton2019,Hamilton,7561,hold,impossible arithmetic,8,H-W Library Trustee at Large Vote for ONE 3 years: 2116 marks exceeds 1058x1=1058 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for ONE 3 years'
Shirley2003,Shirley,7431,hold,impossible arithmetic,18,BOARD OF ASSESSORS – 3 YRS: 936 marks exceeds 929x1=929 -- impossible,
Shirley2008,Shirley,7431,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Shirley2009,Shirley,7431,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Shirley2011,Shirley,7431,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Shirley2019,Shirley,7431,review,seat count nobody could establish,13,BOARD OF ASSESSORS – 1 YEAR: seat count is zero,
Stow2008,Stow,7174,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Stow2009,Stow,7174,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Stow2011,Stow,7174,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Stow2012,Stow,7174,hold,locator: no contest in the cut,0,the parse found no contest in this section,
GreatBarrington2014,GreatBarrington,7172,review,no date could be derived,9,no election date could be derived,
GreatBarrington2018,GreatBarrington,7172,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Harvard2008,Harvard,6851,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Harvard2009,Harvard,6851,review,other,1,only one contest -- a return usually elects several,
Berkley2017,Berkley,6764,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Groveland2008,Groveland,6752,review,seat count nobody could establish,10,Library Trustees – 3 years: seats inferred as 3 but the totals imply 2,
Groveland2009,Groveland,6752,review,seat count nobody could establish,10,Library Trustees – 3 years: seats inferred as 3 but the totals imply 2,
Groveland2010,Groveland,6752,hold,impossible arithmetic,11,Assessor – 3 years: 1637 marks exceeds 1351x1=1351 -- impossible,
Groveland2011,Groveland,6752,hold,impossible arithmetic,11,Assessor – 3 years: 1637 marks exceeds 1351x1=1351 -- impossible,
Groveland2012,Groveland,6752,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Groveland2016,Groveland,6752,hold,impossible arithmetic,16,Road Commissioner 3 yrs: 1128 marks exceeds 1126x1=1126 -- impossible,
Groveland2017,Groveland,6752,hold,impossible arithmetic,17,Light Commissioner: 827 marks exceeds 826x1=826 -- impossible,
Groveland2018,Groveland,6752,hold,impossible arithmetic,26,CEMETERY COMMISSION: 680 marks exceeds 592x1=592 -- impossible,
Newbury2011,Newbury,6716,review,a figure nobody could read,11,TRITON REGIONAL SCHOOL COMMITTEE FOR THREE YEARS NEWBURY: a figure was not readable,
Newbury2015,Newbury,6716,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Newbury2018,Newbury,6716,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Chatham2007,Chatham,6594,review,no date could be derived,2,Two Selectmen for a three (3) year term: no candidates,
Chatham2010,Chatham,6594,review,no date could be derived,4,Selectmen - Two for three (3) year terms: no candidates,
Chatham2012,Chatham,6594,review,a figure nobody could read,2,Moderator: a figure was not readable,
Chatham2013,Chatham,6594,review,no date could be derived,3,Two Selectmen for a three (3) year term: no candidates,
Chatham2015,Chatham,6594,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Chatham2016,Chatham,6594,review,seat count nobody could establish,3,BOARD OF SELECTMEN: seats inferred as 3 but the totals imply 2,
Chatham2017,Chatham,6594,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Chatham2018,Chatham,6594,review,no date could be derived,6,Selectman for one (1) year unexpired term: no candidates,
Topsfield2007,Topsfield,6569,hold,impossible arithmetic,13,Road Commissioner (Three Years): 1829 marks exceeds 1338x1=1338 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Library Trustee (Three Years)'
Topsfield2009,Topsfield,6569,review,seat count nobody could establish,14,School Committee (Three Years): seat count left null by the transcriber,
Topsfield2013,Topsfield,6569,review,a figure nobody could read,14,REGIONAL DISTRICT SCHOOL COMMITTEE: a figure was not readable,
Topsfield2017,Topsfield,6569,review,a figure nobody could read,14,"Constable, Three Years: a figure was not readable",
Topsfield2019,Topsfield,6569,review,a figure nobody could read,12,"REGIONAL SCHOOL COMMITTEE, THREE YEARS (VOTE FOR ONE): a figure was not readable",
Topsfield2020,Topsfield,6569,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dalton2010,Dalton,6330,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dalton2013,Dalton,6330,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Dalton2020,Dalton,6330,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ashburnham2002,Ashburnham,6315,review,a figure nobody could read,12,Moderator – For One Year (Vote for One): a figure was not readable,
Ashburnham2006,Ashburnham,6315,hold,impossible arithmetic,10,Moderator – For one year term: 583 marks exceeds 534x1=534 -- impossible,
Ashburnham2010,Ashburnham,6315,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Ashburnham2020,Ashburnham,6315,hold,impossible arithmetic,9,BOARD OF SELECTMEN-For three years: 343 marks exceeds 339x1=339 -- impossible,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'WESTMINSTER SCHOOL COMMITTEE'
Orleans2014,Orleans,6307,review,seat count nobody could establish,9,REG SCHOOL COMMITTEE: seat count left null by the transcriber,
Rowley2006,Rowley,6161,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rowley2010,Rowley,6161,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Rowley2015,Rowley,6161,hold,locator: no contest in the cut,0,the parse found no contest in this section,
